Feature_id	Mean_decrease_in_accuracy	Standard_deviation
OTU1916	0.000222655726376773	NA
OTU2193	0.000220432263814617	NA
OTU1214	0.000216969231485361	NA
OTU2467	0.000216048401342519	NA
OTU841	0.000214804829624809	NA
OTU2682	0.000214133986928105	NA
OTU2173	0.000212073680823681	NA
OTU823	0.000210228839261097	NA
OTU82	0.000209487519704238	NA
OTU2524	0.00020867673992674	NA
OTU1570	0.00020603626723255	NA
OTU1038	0.000205581550802139	NA
OTU1555	0.00020496322673742	NA
OTU155	0.000203231153231153	NA
OTU201	0.000198145044919238	NA
OTU1511	0.000197880233174351	NA
OTU2483	0.000197815868771751	NA
OTU1723	0.000197201336675021	NA
OTU1646	0.000195250003823858	NA
OTU1621	0.000193823251098793	NA
OTU1206	0.000187669319927384	NA
OTU281	0.00018435960591133	NA
OTU865	0.000180858898583357	NA
OTU1166	0.000179810838562586	NA
OTU3002	0.000178770898324789	NA
OTU3027	0.000176676597922728	NA
OTU1010	0.000175441715147597	NA
OTU2809	0.000173868424876489	NA
OTU678	0.000172781579131256	NA
OTU2854	0.000171774193548387	NA
OTU2766	0.000171626539178721	NA
OTU1654	0.000171131716746232	NA
OTU2800	0.000169191919191919	NA
OTU1583	0.000168647303941422	NA
OTU2100	0.000168589253883372	NA
OTU1307	0.000166711066711067	NA
OTU1231	0.00016633475580844	NA
OTU2561	0.000165970724544579	NA
OTU2631	0.000165027532769468	NA
OTU2729	0.000164541093630583	NA
OTU2899	0.000164459765423534	NA
OTU2071	0.000162358623008528	NA
OTU2456	0.000160506854256854	NA
OTU2764	0.000159401515283868	NA
OTU2752	0.000158120680000164	NA
OTU1295	0.000157575757575758	NA
OTU2614	0.000154598754598755	NA
OTU2280	0.000152571421119808	NA
OTU602	0.000151589495339495	NA
OTU734	0.000151489686783804	NA
OTU2417	0.000151438025575957	NA
OTU752	0.000151004764162659	NA
OTU1999	0.000148977645591423	NA
OTU1495	0.000146464646464646	NA
OTU2697	0.000146409931704049	NA
OTU1103	0.000143939393939394	NA
OTU301	0.000143826179120297	NA
OTU2852	0.000141623082639015	NA
OTU777	0.000141423781959835	NA
OTU2743	0.000141258211627097	NA
OTU257	0.000141150495194613	NA
OTU2627	0.000140044843594539	NA
OTU2311	0.000139547002704897	NA
OTU2344	0.000139465829111789	NA
OTU701	0.000138560585524532	NA
OTU736	0.000133333333333333	NA
OTU2187	0.000132765538647892	NA
OTU680	0.000132450274960012	NA
OTU1628	0.000132128233296714	NA
OTU1832	0.000131975867269985	NA
OTU2599	0.000130890672951116	NA
OTU153	0.000130878004507911	NA
OTU695	0.000130699884376355	NA
OTU537	0.00012841065235883	NA
OTU2511	0.000127789046653144	NA
OTU1627	0.000127687145239327	NA
