SampleID	TG(26:0/18:1/18:2)	DG(22:1/18:2)	DG(18:1/22:1)	TG(18:1/22:1/24:1)	TG(18:1/18:2/22:1)	TG(18:1/18:2/22:0)	TG(22:1/18:2/22:1)	SM(d34:1)	TG(18:1/22:1/24:0)	TG(24:4/16:0/18:1)
CP_22	-0.471198496913193	0.684944080094257	0.223365247756251	-0.399921400289207	0.393039169408456	0.0189291398333324	-0.305117786763714	-0.396322512101756	-1.00898436046414	0.122358902894291
CP_23	-0.471198496913193	0.684944080094257	0.223365247756251	-0.399921400289207	0.393039169408456	0.0189291398333324	-0.305117786763714	-0.396322512101756	-1.00898436046414	0.122358902894291
CP_24	-0.416301463449481	0.705006406322147	0.182171071700537	-0.272245569045745	0.352165782355948	0.0193472028537714	-0.363808839246427	-0.280369217556045	-0.983635628889326	0.157286884841427
CP_25	-0.313598905468113	-0.0969214449521245	-0.204604621239273	-0.302529609194917	-0.17573268844249	-0.126248612457849	-0.641561455311863	-0.791567996018175	-0.559005850460553	-0.53395922149713
CP_26	-0.119048685632841	-0.365046337335808	-0.118300735467335	0.296385881296305	-0.144942182479467	-0.126170173445838	0.134571364216814	-0.806983921461427	0.554270202317234	-0.0683818684288801
CP_27	0.294240999276749	-0.43579203261821	0.748038970084271	0.45497470553663	0.530182676989405	0.374810347089938	0.497501518707243	-0.198914018731515	0.521291172630794	-0.272192544605039
CP_28	-1.16501986044288	-0.16384448646581	-0.569834791963334	-1.50143747730602	-0.869040487517611	-0.969620731176553	-1.20169374930511	-0.776699184479625	-1.89678990439343	-1.40091010177023
CP_29	-0.974508942558803	-0.864065272364641	-0.516965102300714	-0.78849447968841	-0.933851194433115	-0.970097005103385	-0.775654042620345	-0.917024802317284	-0.797848305397092	-1.07017848076066
CP_30	-0.574767809028731	-0.877850944796764	-1.13677882371178	-0.475596546964128	-0.909029132114467	-0.89012765573382	-0.261472329886799	-0.632276231886273	-0.612110214566432	-0.994433771371414
CP_31	-0.574767809028731	-0.877850944796764	-1.13677882371178	-0.475596546964128	-0.909029132114467	-0.89012765573382	-0.261472329886799	-0.632276231886273	-0.612110214566432	-0.994433771371414
