ID	LipidIon	log_t.test_p.value_BHcorrect	logFC	VIP	VIP_num	Regulate
4.7_751.574854445783	SM(d38:5)	3.06489472263015	0.676144234474232	VIP >=1	1.06387130768033	Up
4.76_804.554306746988	PC(38:7)	0.00061820396432711	0.106988220355907	VIP <1	0.548163635804729	Normal
4.76_826.535738837349	PC(38:7)(rep)	0.033774758321737	0.171912760906461	VIP <1	0.551950658389299	Normal
4.76_826.538117807229	PC(40:10)	0.0633227212556945	0.160604155806471	VIP <1	0.594976891667874	Normal
4.77_702.506948975904	PC(30:2)(rep)	0.583258241175215	0.694777495676843	VIP <1	0.573625104039504	Normal
4.77_754.538617427711	PC(34:4)	0.0362277357403559	0.0921712114546925	VIP <1	0.393502127911105	Normal
4.77_798.529220072289	PC(16:1/18:3)	0.209687581984589	-0.123975277962336	VIP <1	0.396862285917038	Normal
4.77_848.545575644578	PC(20:5/18:2)	0.143016611140673	0.0381221175458963	VIP <1	0.53552466454949	Normal
4.82_752.522566884849	PC(34:5)(rep)	0.759654591489811	0.349882813931001	VIP <1	0.571527493385268	Normal
4.82_850.544020873494	PI(16:0/18:3)(rep)	0.466826469299741	0.576269284558659	VIP >=1	1.01405655255972	Normal
4.88_778.538764795181	PC(36:6)(rep)(rep)	0.83692024986131	-0.211319846634971	VIP <1	0.726985362285175	Normal
4.89_822.530228385542	PC(14:0/22:6)	1.00694208901978	-0.236341768848372	VIP <1	0.766096740831632	Normal
4.91_1153.72188608434	GM3(d34:1)(rep)	1.05730933835461	0.192625400519393	VIP <1	0.57299598328294	Normal
4.91_700.572213253012	CerG1(d18:1/16:0)	0.353279212259583	-0.0570735333205596	VIP <1	0.557163867560231	Normal
4.93_807.503888891566	PI(16:0/16:1)	0.0120386271760883	-0.0131296951404014	VIP <1	0.568722175479202	Normal
4.95_675.544228283132	SM(d32:1)	1.63940551205525	-0.173993496253541	VIP <1	0.621162577431869	Normal
4.95_780.553831626506	PC(36:5)(rep)(rep)	1.09156837433584	-0.0825386141151057	VIP <1	0.570697792860586	Normal
