Feature_id	Mean_decrease_in_accuracy	Standard_deviation
OTU1966	0.000289576883384933	NA
OTU1297	0.000287719633307869	NA
OTU2000	0.000287353347135956	NA
OTU1311	0.000287327467218772	NA
OTU108	0.000278758169934641	NA
OTU1426	0.000277212918660287	NA
OTU213	0.000275882393731364	NA
OTU751	0.000263176483408009	NA
OTU1672	0.000260656990068755	NA
OTU1605	0.000258283018151439	NA
OTU1085	0.000257829127394345	NA
OTU2208	0.000256249277673763	NA
OTU1997	0.000255978260869565	NA
OTU734	0.000254593225196604	NA
OTU165	0.000253349282296651	NA
OTU237	0.000251972001615291	NA
OTU1735	0.000250485625485625	NA
OTU850	0.00024806405496808	NA
OTU1334	0.000247619047619048	NA
OTU503	0.000245847995948952	NA
OTU216	0.000245612471463865	NA
OTU2087	0.000245472582972583	NA
OTU1201	0.000245454545454546	NA
OTU705	0.000240540075679395	NA
OTU1011	0.000235238095238095	NA
OTU545	0.000229038505354295	NA
OTU1529	0.000227261335156072	NA
OTU2205	0.000224089635854342	NA
OTU1937	0.000223872324561516	NA
OTU798	0.000220874490146936	NA
OTU321	0.000220278637770898	NA
OTU870	0.000216626371788574	NA
OTU444	0.000214723082215342	NA
OTU835	0.00021386255493807	NA
OTU2062	0.000212885154061625	NA
OTU1098	0.000203174603174603	NA
OTU598	0.000202517332430511	NA
OTU2	0.000195454545454545	NA
OTU88	0.000195238095238095	NA
OTU2077	0.000192156862745098	NA
OTU1127	0.000192107409498714	NA
OTU470	0.000188311688311688	NA
OTU57	0.000186363636363636	NA
OTU410	0.000181539702127937	NA
OTU715	0.000175370491446006	NA
OTU1168	0.000174306086070792	NA
OTU1251	0.000169934640522876	NA
OTU556	0.000168055555555556	NA
OTU2157	0.000167763157894737	NA
OTU2113	0.000164690382081686	NA
OTU906	0.000164086687306502	NA
OTU1644	0.000162990196078431	NA
OTU262	0.000162420837900378	NA
OTU608	0.000158730158730159	NA
OTU938	0.00015829033367733	NA
OTU1167	0.000157894736842105	NA
OTU1606	0.000157894736842105	NA
OTU370	0.000157177033492823	NA
OTU342	0.000156565656565657	NA
OTU1339	0.00015	NA
OTU1610	0.00015	NA
OTU1629	0.000149732620320856	NA
OTU1737	0.000148359870263895	NA
OTU1473	0.000147619047619048	NA
OTU793	0.000145238095238095	NA
OTU48	0.000143540669856459	NA
OTU2128	0.000143478260869565	NA
OTU1848	0.000143065136393646	NA
OTU879	0.00014228502405747	NA
OTU951	0.000141752602851001	NA
OTU397	0.000141666666666667	NA
OTU1563	0.000141564385271479	NA
OTU610	0.00014153895938793	NA
OTU1572	0.000140909090909091	NA
OTU684	0.00013968253968254	NA
OTU1554	0.000139244103438477	NA
OTU1458	0.000136654135338346	NA
OTU872	0.000133333333333333	NA
OTU871	0.000128723993584675	NA
OTU1286	0.000125	NA
OTU1709	0.000120664406113323	NA
OTU627	0.000118055555555556	NA
OTU690	0.000117736369910283	NA
OTU1000	0.00011441647597254	NA
OTU1443	0.0001125	NA
OTU839	0.0001125	NA
OTU1471	0.000110275689223058	NA
OTU101	0.000106712763463336	NA
OTU1105	0.000105978260869565	NA
OTU1002	0.000105555555555556	NA
OTU1029	0.000105263157894737	NA
OTU1490	0.000105263157894737	NA
OTU1546	0.000105263157894737	NA
OTU1985	0.000103174603174603	NA
OTU518	0.000103174603174603	NA
OTU940	0.00010230179028133	NA
OTU1184	0.000101010101010101	NA
OTU528	0.000100250626566416	NA
OTU2130	1e-04	NA
OTU256	1e-04	NA
OTU526	1e-04	NA
OTU1660	9.85060690943044e-05	NA
OTU208	9.80861244019139e-05	NA
OTU892	9.80861244019139e-05	NA
OTU2051	9.78238896279682e-05	NA
OTU2151	9.73684210526316e-05	NA
OTU807	9.61098398169336e-05	NA
OTU1091	9.52380952380952e-05	NA
OTU282	9.52380952380952e-05	NA
OTU825	9.52380952380952e-05	NA
OTU1137	9.40586761020197e-05	NA
OTU648	9.16666666666667e-05	NA
OTU1533	9.10680075372497e-05	NA
OTU1177	9.09090909090909e-05	NA
OTU421	9.09090909090909e-05	NA
OTU1940	8.84657295412444e-05	NA
OTU1483	8.69565217391304e-05	NA
OTU2198	8.69565217391304e-05	NA
OTU699	8.69565217391304e-05	NA
OTU904	8.69565217391304e-05	NA
OTU989	8.69565217391304e-05	NA
OTU1258	8.68937048503612e-05	NA
OTU1135	8.33333333333333e-05	NA
OTU215	8.05152979066023e-05	NA
OTU1429	7.05942178549528e-05	NA
OTU1351	6.73404098481498e-05	NA
OTU92	6.4349376114082e-05	NA
OTU406	6.28161441241936e-05	NA
OTU126	6.25e-05	NA
OTU1461	6.25e-05	NA
OTU1725	6.25e-05	NA
OTU419	6.25e-05	NA
OTU465	6.25e-05	NA
OTU885	6.02124183006536e-05	NA
OTU106	5.88235294117647e-05	NA
OTU127	5.88235294117647e-05	NA
OTU1373	5.88235294117647e-05	NA
OTU283	5.57951250675709e-05	NA
OTU1124	5.55555555555556e-05	NA
OTU1323	5.55555555555556e-05	NA
OTU1390	5.55555555555556e-05	NA
OTU140	5.55555555555556e-05	NA
OTU2025	5.55555555555556e-05	NA
OTU437	5.55555555555556e-05	NA
OTU538	5.55555555555556e-05	NA
